lgd_state_code,lgd_district_code,district_name,state_name,Demand_Chronic,Demand_Acute,Realizability_Chronic,Realizability_Acute,Demand_Overall,Realizability_Overall,MAI_Overall,MAI_Chronic,MAI_Acute,quadrant_overall,quadrant_chronic,quadrant_acute,confidence_score
24,442,Bharuch,Gujarat,0.4205518580094689,0.4449609782967414,0.4831493739026458,0.5992574049471472,0.43275641815310517,0.5412033894248964,0.483951692113829,0.45076531243083606,0.5163779247381216,Star,Star,Underserved,1.0
24,443,Bhavnagar,Gujarat,0.4164053559812001,0.4853561037205411,0.3196434976143765,0.568407022288343,0.4508807298508706,0.4440252599513597,0.44743986554518317,0.36483045981824264,0.525242627425902,Emerging,Emerging,Star,1.0
8,92,Bhilwara,Rajasthan,0.2811796985740147,0.5272392243703364,0.2858164892197772,0.3750018677566036,0.40420946147217557,0.3304091784881904,0.3654511131494545,0.28348861403290976,0.4446523292342222,Star,Underserved,Emerging,0.368421052631579
23,395,Bhind,Madhya Pradesh,0.2419644769556101,0.4807752063551783,0.3619386213754821,0.3628895034262414,0.3613698416553942,0.3624140624008617,0.361891575397228,0.2959329133623922,0.41769399791459705,Underserved,Underserved,Underserved,0.368421052631579
6,59,Bhiwani,Haryana,0.3523020860008525,0.4971501071546149,0.3096515155615675,0.7178716541911869,0.4247260965777337,0.5137615848763772,0.4671273407927797,0.33028907772686894,0.5974026864723737,Emerging,Emerging,Emerging,0.368421052631579
10,193,Bhojpur,Bihar,0.2747999656273989,0.4928817936982984,0.5707570100262103,0.3270097285354827,0.38384087966284863,0.4488833692808465,0.41509009543806685,0.39603536046267324,0.4014687304851554,Underserved,Star,Underserved,1.0
23,396,Bhopal,Madhya Pradesh,0.3409115320831988,0.4352717551959594,0.506195899102309,0.6974394248498568,0.3880916436395791,0.6018176619760829,0.4832808765176072,0.41541307092724045,0.5509770254713507,Underserved,Star,Underserved,0.368421052631579
29,529,Bidar,Karnataka,0.2614817893533837,0.4590316770256494,0.3271883447678589,0.421527467700343,0.36025673318951656,0.3743579062341009,0.36723964429724165,0.292495801415117,0.43988005229933275,Deprioritize,Deprioritize,Emerging,1.0
22,636,Bijapur,Chhattisgarh,0.2441117458775356,0.4928451246090759,0.1613166710003563,0.2893210363938952,0.36847843524330576,0.22531885369712576,0.2881408312633464,0.1984421683943435,0.37761152290889677,Deprioritize,Deprioritize,Deprioritize,0.368421052631579
9,132,Bijnor,Uttar Pradesh,0.3800721304519387,0.556116809771824,0.3645109683687662,0.6249913889852978,0.4680944701118813,0.494751178677032,0.4812382890212021,0.37221023672249554,0.5895491645124814,Star,Emerging,Underserved,0.368421052631579
8,93,Bikaner,Rajasthan,0.3174822421823859,0.4528797585913476,0.2451281401878267,0.6217471855316308,0.38518100038686676,0.43343766285972873,0.4085975435384503,0.2789692305054976,0.5306380266136368,Underserved,Emerging,Underserved,0.368421052631579
22,375,Bilaspur,Chhattisgarh,0.3034004899638421,0.5413187208914425,0.2956016496138057,0.4169297801379868,0.4223596054276423,0.35626571487589626,0.3879075234671022,0.2994756840328587,0.4750704108717416,Underserved,Underserved,Star,0.368421052631579
2,15,Bilaspur,Himachal Pradesh,0.3934183319776823,0.3681147183079654,0.3577453580039925,0.7362964312709921,0.38076652514282383,0.5470208946374923,0.4563849748092466,0.3751580760408731,0.5206165127889063,Star,Star,Emerging,1.0
19,307,Birbhum,West Bengal,0.3639107065941315,0.6039394219180794,0.3361269062492681,0.3802424157023695,0.48392506425610543,0.3581846609758188,0.41633464313971574,0.34974301988527307,0.47921121097906616,Deprioritize,Deprioritize,Emerging,1.0
14,252,Bishnupur,Manipur,0.4954017221101578,0.2859843870402365,0.3876916349117834,0.4306066590288875,0.39069305457519715,0.40914914697033544,0.39981461955095715,0.4382500468716462,0.3509227570816982,Star,Star,Underserved,1.0
18,705,Biswanath,Assam,0.3600393973663461,0.470884424790931,0.2857547019944458,0.3673976719971815,0.41546191107863856,0.32657618699581364,0.3683476167454536,0.3207537228165561,0.41593490049275733,Emerging,Star,Emerging,1.0
20,322,Bokaro,Jharkhand,0.3343466193616122,0.5725895600921243,0.3593404936974078,0.3634677002717833,0.45346808972686825,0.3614040969845955,0.40482740208521995,0.34661834814022896,0.456199310177379,Star,Star,Star,0.368421052631579
18,281,Bongaigaon,Assam,0.2175398599892901,0.402412202700227,0.2876183287020044,0.4540073941176488,0.30997603134475854,0.3708128614098266,0.3390325930517773,0.25013686444862065,0.4274320010353379,Underserved,Underserved,Underserved,1.0
24,676,Botad,Gujarat,0.3183711544397442,0.3984906161873547,0.3196434976143765,0.5894910381610269,0.35843088531354944,0.4545672678877017,0.4036470590299777,0.319006691692583,0.4846716899445552,Underserved,Deprioritize,Underserved,1.0
21,349,Boudh,Odisha,0.2856105107917632,0.4986168338378454,0.2713067277714381,0.2483295031888879,0.3921136723148043,0.259818115480163,0.31918370164348714,0.2783667600487571,0.3518824670661618,Deprioritize,Deprioritize,Deprioritize,0.368421052631579
9,133,Budaun,Uttar Pradesh,0.3271657700510358,0.6466102545150711,0.2849038771651846,0.4309565758026037,0.48688801228305345,0.35793022648389416,0.41745890397590796,0.30530443226928977,0.5278834541493653,Emerging,Deprioritize,Star,0.368421052631579
1,2,Budgam,Jammu And Kashmir,0.2661307144007411,0.4726080132970026,0.328589190090566,0.6157563619246322,0.36936936384887187,0.4721727760075991,0.41761963304026156,0.29571553206276335,0.5394547162498354,Star,Star,Star,0.368421052631579
9,134,Bulandshahr,Uttar Pradesh,0.3505283963772276,0.4891812552401193,0.4626011917582711,0.5304979643461984,0.41985482580867345,0.49654957805223476,0.45659471810183194,0.40268455881647747,0.509420906619665,Underserved,Underserved,Underserved,0.368421052631579
27,472,Buldhana,Maharashtra,0.3277210438009809,0.6236300998296025,0.3854658242391285,0.4492203729574471,0.4756755718152917,0.4173430985982878,0.44555573957576416,0.35542265300519693,0.5292894728151544,Emerging,Underserved,Emerging,0.368421052631579
